                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.32992,                0.56526,                0.29982,                0.94689,                0.94727,                0.93148,                 0.9491,                 0.8685,                0.94524,                0.92593,                0.94849,                0.86197,                0.39599,                0.74551,                0.42189,                 1.0572,              0.0005942,              0.0005942,              0.0005942
                     73,                0.32218,                0.54127,                0.30302,                0.93927,                 0.9755,                0.88466,                0.94648,                0.85035,                 0.9755,                0.88466,                0.94623,                0.83721,                0.41072,                0.80036,                0.42599,                 1.0578,              0.0005744,              0.0005744,              0.0005744
                     74,                0.31958,                0.53103,                0.29683,                0.93791,                0.94118,                0.94814,                0.95742,                0.86352,                0.94118,                0.94814,                0.95742,                0.85571,                0.40424,                0.70733,                0.40555,                 1.0626,              0.0005546,              0.0005546,              0.0005546
                     75,                0.32121,                0.53167,                0.29542,                0.94664,                0.93624,                0.91111,                0.95502,                0.87594,                0.93624,                0.91111,                0.95483,                0.85594,                0.37772,                0.70016,                0.38479,                 1.0347,              0.0005348,              0.0005348,              0.0005348
                     76,                0.31738,                  0.547,                0.29211,                0.94347,                 0.9557,                 0.8963,                0.94881,                0.84576,                 0.9557,                 0.8963,                0.94769,                0.84034,                0.41253,                0.74982,                0.41318,                 1.0636,               0.000515,               0.000515,               0.000515
                     77,                0.31839,                0.53515,                0.29547,                0.94113,                 0.9674,                 0.8792,                0.95009,                0.85588,                 0.9674,                 0.8792,                0.95009,                0.84726,                0.38049,                0.72151,                0.40212,                 1.0206,              0.0004952,              0.0004952,              0.0004952
                     78,                0.31286,                0.50929,                0.28413,                 0.9411,                0.96448,                 0.8963,                0.94993,                0.87079,                0.96448,                 0.8963,                0.94913,                0.85409,                0.36841,                0.65916,                0.39585,                  1.014,              0.0004754,              0.0004754,              0.0004754
                     79,                0.31254,                0.52138,                 0.2874,                0.93578,                0.96261,                0.88148,                0.94918,                0.87684,                0.96261,                0.88148,                0.94918,                0.85445,                0.38911,                0.78652,                0.39935,                  1.037,              0.0004556,              0.0004556,              0.0004556
                     80,                0.30806,                0.50805,                0.27836,                0.93265,                0.96124,                0.91845,                 0.9539,                0.87434,                0.96124,                0.91845,                0.95376,                0.85421,                0.36649,                0.69886,                0.37609,                 1.0046,              0.0004358,              0.0004358,              0.0004358
                     81,                0.30077,                0.50878,                0.27716,                0.93082,                0.97556,                0.88708,                0.94416,                0.86925,                0.97556,                0.88708,                0.94359,                0.85114,                0.38947,                0.67773,                0.41072,                 1.0382,               0.000416,               0.000416,               0.000416
                     82,                0.30389,                0.51421,                0.28086,                0.93103,                0.94607,                0.92593,                0.95681,                0.86715,                0.94607,                0.92593,                0.95681,                0.84691,                0.38578,                0.71624,                0.38888,                 1.0423,              0.0003962,              0.0003962,              0.0003962
                     83,                0.29681,                0.50332,                0.26188,                0.92512,                0.96117,                0.91669,                0.94392,                 0.8578,                0.96117,                0.91669,                0.94346,                0.84793,                0.40173,                0.75529,                 0.4244,                 1.0665,              0.0003764,              0.0003764,              0.0003764
                     84,                0.29718,                0.51287,                0.26762,                0.92607,                 0.9684,                0.90795,                0.94858,                0.87288,                 0.9684,                0.90795,                0.94858,                0.85412,                0.38542,                 0.6895,                0.39222,                 1.0382,              0.0003566,              0.0003566,              0.0003566
                     85,                0.29266,                0.48897,                0.26586,                 0.9257,                0.94235,                 0.9037,                0.94712,                0.86073,                0.94235,                 0.9037,                0.94712,                0.84957,                0.39395,                0.74127,                 0.4021,                 1.0425,              0.0003368,              0.0003368,              0.0003368
                     86,                0.29693,                0.49293,                0.26617,                0.92614,                0.96122,                0.91808,                0.94713,                0.86566,                0.96122,                0.91808,                0.94713,                0.84486,                0.37429,                0.70434,                0.40408,                 1.0281,               0.000317,               0.000317,               0.000317
                     87,                 0.2977,                0.48927,                0.25921,                0.92741,                0.94038,                0.91852,                0.95151,                0.85728,                0.94038,                0.91852,                0.95151,                0.84653,                0.38101,                0.65463,                 0.4059,                 1.0212,              0.0002972,              0.0002972,              0.0002972
                     88,                 0.2953,                0.48824,                0.26261,                0.92771,                 0.9144,                0.94959,                 0.9472,                0.84491,                 0.9144,                0.94959,                0.94723,                0.84103,                0.40942,                0.64455,                 0.4134,                 1.0506,              0.0002774,              0.0002774,              0.0002774
                     89,                0.28455,                0.47919,                0.25566,                0.91818,                0.93158,                0.93333,                0.94713,                 0.8502,                0.93158,                0.93333,                0.94713,                0.84217,                0.40286,                0.64946,                0.40733,                  1.055,              0.0002576,              0.0002576,              0.0002576
                     90,                  0.285,                0.48221,                0.25219,                0.92302,                0.92628,                0.93076,                0.95561,                0.87116,                0.92628,                0.93076,                0.95561,                0.85031,                0.38277,                0.67569,                0.39507,                 1.0264,              0.0002378,              0.0002378,              0.0002378
                     91,                0.18224,                0.36429,                0.16853,                0.86876,                0.93741,                0.93333,                0.95886,                0.88332,                0.93741,                0.93333,                0.95886,                0.86709,                0.37336,                0.67089,                0.37377,                 1.0375,               0.000218,               0.000218,               0.000218
                     92,                0.17563,                0.36235,                0.15982,                0.86345,                0.93976,                0.92452,                0.96136,                0.89633,                0.93976,                0.92452,                0.96047,                0.87632,                0.34909,                0.70666,                0.36872,                0.99293,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.1778,                0.35864,                0.15998,                0.86508,                0.94717,                0.92973,                 0.9545,                0.89201,                0.94717,                0.92973,                 0.9578,                0.88169,                 0.3732,                0.72297,                0.35649,                 1.0315,              0.0001784,              0.0001784,              0.0001784
                     94,                0.17414,                0.34824,                0.16065,                0.86137,                0.95406,                0.92294,                0.96602,                0.90869,                0.94999,                0.92593,                0.96594,                0.89312,                0.35836,                 0.7047,                 0.3652,                 1.0024,              0.0001586,              0.0001586,              0.0001586
                     95,                0.16939,                0.33942,                 0.1542,                0.85837,                0.93423,                0.94703,                0.96093,                0.90264,                0.93423,                0.94703,                0.96093,                0.88989,                0.35564,                0.70881,                0.36422,                 1.0116,              0.0001388,              0.0001388,              0.0001388
                     96,                0.16712,                0.34288,                0.14554,                0.85528,                0.93664,                0.93333,                 0.9649,                0.90481,                0.93664,                0.93333,                 0.9649,                0.89023,                0.35821,                0.69232,                0.35909,                 1.0124,               0.000119,               0.000119,               0.000119
                     97,                0.16452,                 0.3396,                 0.1438,                0.85404,                0.94515,                0.92593,                0.95581,                0.90252,                0.94515,                0.92593,                0.95581,                0.88521,                0.36736,                0.83829,                0.36937,                 1.0325,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.15933,                0.33851,                0.14371,                0.85109,                0.94647,                0.92593,                0.95679,                0.89796,                0.94647,                0.92593,                0.95679,                0.88629,                0.36212,                0.79822,                0.36456,                 1.0287,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.15436,                0.33047,                0.13744,                0.85117,                0.93726,                0.93333,                0.96066,                0.90193,                0.93726,                0.93333,                0.96066,                0.89157,                0.35916,                0.75624,                0.37026,                 1.0284,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.15214,                0.32995,                0.13834,                0.84618,                0.94012,                0.93034,                0.96165,                0.90359,                0.94012,                0.93034,                0.96165,                0.89196,                0.35181,                0.73658,                0.37046,                 1.0232,               3.98e-05,               3.98e-05,               3.98e-05
